ID,Famille,Grade,Ep,Demande_T,Livre_T,Prix,Sem,Prio,MargeU,CoutOppo,Contrainte_bloquante
CMD-001,HDG,DX51,0.3,423.0,0.0,11017.0,1,Haute,2542.0,4294.0,cap LGA S1
CMD-009,CRC,DX51,1.0,243.0,0.0,9027.0,1,Normale,1698.0,1731.0,HRC DX51
CMD-010,CRC,S320,0.3,192.0,38.8,10333.0,1,Normale,2027.0,2027.0,HRC S320
CMD-018,HDG,S320,0.9,169.0,0.0,11026.0,2,Normale,2024.0,2102.0,HRC S320
CMD-023,CRC,S320,0.4,225.0,0.0,10062.0,2,Normale,1763.0,2027.0,HRC S320
CMD-027,BACR,S320,0.9,41.0,0.0,10543.0,2,Basse,1980.0,2102.0,HRC S320
CMD-030,CRC,DX51,1.0,87.0,0.0,8749.0,2,Basse,1364.0,1731.0,HRC DX51
CMD-031,CRC,DX51,0.7,131.0,0.0,9091.0,2,Basse,1705.0,1731.0,HRC DX51
CMD-047,CRC,S320,0.3,184.0,0.0,10210.0,3,Basse,1903.0,2027.0,HRC S320
CMD-050,CRC,S320,0.5,114.0,0.0,9830.0,4,Normale,1591.0,2027.0,HRC S320
CMD-052,CRC,DX51,0.7,178.0,16.3,9169.0,4,Normale,1731.0,1731.0,HRC DX51
CMD-053,CRC,S320,0.2,260.0,0.0,10349.0,4,Normale,2023.0,2027.0,HRC S320
CMD-055,CRC,DX52,0.7,221.0,202.0,9101.0,4,Basse,1545.0,1545.0,HRC DX52
CMD-061,HDG,DC01,0.5,650.0,0.0,10350.0,1,Haute,2393.0,2490.0,cap LGA S1
CMD-065,HDG,DC01,0.4,720.0,159.2,10580.0,1,Haute,2490.0,2490.0,cap LGA S1
